SrNo.,SchemeId,LocationId,District,Taluka,Name of Schemes,Region,Type,OSL,FRL,PWL,Design Storage in MCM,,,Present Storage in MCM,,,PercentageFilling %,RF,CRF,Type ofWarning,InflowinCusecs,OutflowRiverinCusecs,outflowCanalinCusecs
,,,,,,,,,,,Gross,Live,Dead,Gross,Live,Dead,,,,,,,
73,66,73,Amreli,Amreli,Thebi,Sau,G,120.6,126,124,10.65,9.98,0.67,4.54,3.87,0.67,42.63%,10,125,NIL,0,0,0
72,70,72,Amreli,Amreli,Vadi,Sau,G,128.05,134,133.5,10.62,10.20,0.42,8.86,8.44,0.42,83.43%,15,160,ALERT,614,614,0
63,93,63,Amreli,Babra,Ghelo-I,Sau,UG,159.1,166.72,164.01,10.09,9.86,0.23,3.65,3.42,0.23,36.17%,0,215,NIL,0,0,0
70,72,70,Amreli,Bagasara,Munjiasar,Sau,UG,55.47,62.94,60.896,13.64,13.63,0.01,6.31,6.30,0.01,46.26%,0,31,NIL,0,0,0
71,65,71,Amreli,Dhari,Khodiyar,Sau,G,179.82,202.68,198.9,29.94,29.94,0.00,14.04,14.04,0.00,46.89%,0,80,NIL,0,0,0
87,68,87,Amreli,Khambha,Raidy,Sau,G,42.25,50.85,47.7,6.93,6.38,0.55,2.98,2.43,0.55,43.00%,0,80,NIL,0,0,0
116,73,116,Amreli,Kunkavav vadia,Sankroli,Sau,UG,36.58,44.2,40.84,7.87,7.87,0.00,1.92,1.92,0.00,24.40%,32,32,NIL,0,0,0
115,69,115,Amreli,Kunkavav vadia,Vadiya,Sau,G,125.2,130.25,127.5,5.36,5.09,0.27,1.27,1.00,0.27,23.69%,0,91,NIL,0,0,0
85,67,85,Amreli,Rajula,Dhatarvadi,Sau,UG,70.83,81.23,81.38,26.92,24.63,2.29,26.92,24.63,2.29,100%,0,160,HIGH,1064,1064,0
86,75,86,Amreli,Rajula,Dhatarwadi-II,Sau,G,31.85,34.41,33.5,10.19,7.44,2.75,6.76,4.01,2.75,66.34%,0,220,NIL,1080,1080,0
74,71,74,Amreli,Savarkundla,Shell-Dedumal,Sau,G,171,179.5,177.45,7.81,7.34,0.47,4.07,3.60,0.47,52.11%,0,190,NIL,0,0,0
84,74,84,Amreli,Savarkundla,Surajwadi,Sau,UG,39.62,50.29,50.39,6.37,6.37,0.00,6.37,6.37,0.00,100%,0,230,HIGHALERT,623,623,0
41,31,41,Arvalli,Bayad,Lank,NG,G,106.5,111.55,102.92,7.54,7.22,0.32,0.01,0.00,0.01,0.13%,12,75,NIL,0,0,0
34,30,34,Arvalli,Bhiloda,Hathmati,NG,UG,170.69,180.75,176.87,152.84,149.39,3.45,45.70,42.25,3.45,29.90%,50,65,NIL,0,0,0
