SrNo.,SchemeId,LocationId,District,Taluka,Name of Schemes,Region,Type,OSL,FRL,PWL,Design Storage in MCM,,,Present Storage in MCM,,,PercentageFilling %,RF,CRF,Type ofWarning,InflowinCusecs,OutflowRiverinCusecs,outflowCanalinCusecs
,,,,,,,,,,,Gross,Live,Dead,Gross,Live,Dead,,,,,,,
18,25,25,Dahod,Dhanpur,Edalwada,CG,FG,228.5,237.3,236,14.08,13.28,0.80,10.49,9.69,0.80,74.50%,0,483,WARNING,0,0,0
19,18,21,Dahod,Garbada,Patadungari,CG,UG,160.02,170.84,167.3,41.05,39.64,1.41,18.52,17.11,1.41,45.12%,0,237,NIL,0,0,0
25,24,22,Dahod,Limkheda,Umaria,CG,UG,270.93,280,280.05,13.54,11.67,1.87,13.54,11.67,1.87,100%,7,362,HIGHALERT,61.6,61.6,0
21,16,23,Dahod,Singvad,Hadaf,CG,G,161.5,166.2,163.95,22.09,17.27,4.82,11.95,7.13,4.82,54.10%,5,349,NIL,450,800,0
23,22,24,Dahod,Singvad,Kabutari,CG,UG,180.6,186.3,185.6,9.58,8.07,1.51,7.79,6.28,1.51,81.32%,0,300,ALERT,245,0,0
24,26,17,Dahod,Zalod,Kali - II,CG,UG,250,257,257.1,14.52,10.91,3.61,14.52,10.91,3.61,100%,0,135,HIGHALERT,353,353,0
22,21,18,Dahod,Zalod,Machchhanala,CG,UG,271.31,277.64,275.4,27.75,21.82,5.93,17.00,11.07,5.93,61.26%,0,166,NIL,0,0,0
108,123,137,DevbhumiDwarka,Bhanvad,Kabarka,Sau,UG,92.2,96.85,92.35,4.30,4.06,0.24,0.27,0.03,0.24,6.28%,95,240,NIL,110,0,0
100,195,131,DevbhumiDwarka,Bhanvad,Minsar (V),Sau,UG,85.5,91.8,89.6,5.85,5.54,0.31,2.37,2.06,0.31,40.51%,90,290,NIL,850,0,0
103,115,141,DevbhumiDwarka,Bhanvad,Sonmati,Sau,FG,72,78.5,76.4,7.40,7.09,0.31,3.17,2.86,0.31,42.84%,80,275,NIL,970,0,0
109,100,138,DevbhumiDwarka,Bhanvad,Vartu-I,Sau,UG,32,39.01,31.8,11.83,11.59,0.24,0.21,0.00,0.21,1.78%,100,280,NIL,70,0,0
102,109,142,DevbhumiDwarka,Bhanvad,Vartu-II,Sau,G,31.75,39.95,33.6,25.60,24.03,1.57,3.29,1.72,1.57,12.85%,30,210,NIL,344,0,0
105,118,139,DevbhumiDwarka,Bhanvad,Veradi,Sau,UG,80,85.15,82.6,6.42,6.31,0.11,1.96,1.85,0.11,30.53%,95,275,NIL,660,0,0
99,194,140,DevbhumiDwarka,Bhanvad,Veradi-II,Sau,UG,57.6,65.4,61.65,9.79,9.57,0.22,2.32,2.10,0.22,23.70%,110,270,NIL,870,0,0
110,95,147,DevbhumiDwarka,Jamkalyanpur,Sani,Sau,G,13.65,17.25,11.15,39.02,32.18,6.84,0.32,0.00,0.32,0.82%,0,460,NIL,0,0,0
104,117,146,DevbhumiDwarka,Jamkalyanpur,Shedhabhadthari,Sau,UG,28,32.5,23.9,5.62,4.99,0.63,0.01,0.00,0.01,0.18%,25,190,NIL,0,0,0
101,104,145,DevbhumiDwarka,Jamkhambhalia,Gadhaki,Sau,UG,25.1,30,24.7,9.34,9.14,0.20,0.14,0.00,0.14,1.50%,10,260,NIL,0,0,0
107,97,149,DevbhumiDwarka,Jamkhambhalia,Ghee,Sau,UG,34.44,40.54,37.28,10.97,10.89,0.08,2.42,2.34,0.08,22.06%,10,245,NIL,0,0,0
106,122,148,DevbhumiDwarka,Kalyanpur,Sindhani,Sau,UG,13,16.35,7.32,8.73,7.96,0.77,0.00,0.00,0.00,0.00%,10,260,NIL,0,0,0
114,127,89,Gir Somnath,Gir-Gadhada,Machhundri,Sau,UG,99.5,109.5,106.25,31.84,26.70,5.14,18.81,13.67,5.14,59.08%,25,235,NIL,140,0,0
113,126,88,Gir Somnath,Gir-Gadhada,Raval,Sau,G,129.85,148.85,142.455,26.73,24.00,2.73,14.21,11.48,2.73,53.16%,12,247,NIL,0,0,0
112,124,90,Gir Somnath,Gir-Gadhada,Shingoda,Sau,G,122.78,141.58,139.93,36.40,36.07,0.33,28.10,27.77,0.33,77.20%,51,415,WARNING,0,0,0
111,125,92,Gir Somnath,Talala,Hiran-II,Sau,G,62.42,71.26,67.84,38.58,35.02,3.56,17.91,14.35,3.56,46.42%,13,262,NIL,696,0,0
124,106,164,Jamnagar,Dhrol,Und-II,Sau,G,14.5,18.25,12.15,37.12,32.87,4.25,0.55,0.00,0.55,1.48%,55,365,NIL,0,0,0
117,99,132,Jamnagar,Jamjodhpur,Dia-Minsar,Sau,UG,71.5,75.4,71.51,11.11,8.87,2.24,2.26,0.02,2.24,20.34%,40,270,NIL,20,0,0
126,110,126,Jamnagar,Jamjodhpur,Fulzar (KB),Sau,G,88.4,95.85,94.85,18.03,16.28,1.75,13.19,11.44,1.75,73.16%,65,200,WARNING,865,865,0
134,103,128,Jamnagar,Jamjodhpur,Umiyasagar,Sau,G,68,71.05,69.5,1.55,1.37,0.18,0.85,0.67,0.18,54.84%,65,245,NIL,12261,12261,0
118,107,160,Jamnagar,Jamnagar,Kankavati,Sau,G,26.5,30.5,27.47,6.82,6.39,0.43,0.94,0.51,0.43,13.78%,15,245,NIL,0,0,0
125,108,156,Jamnagar,Jamnagar,Rangmati,Sau,G,38.5,43.2,42.6,3.36,3.20,0.16,2.64,2.48,0.16,78.57%,35,275,WARNING,0,0,0
123,105,157,Jamnagar,Jamnagar,Ruparel,Sau,UG,45.05,48.2,48,4.27,3.74,0.53,3.88,3.35,0.53,90.87%,65,265,HIGHALERT,140,0,0
128,114,158,Jamnagar,Jamnagar,Sapada,Sau,UG,27.13,32.77,32.48,5.56,5.27,0.29,5.02,4.73,0.29,90.29%,85,255,HIGHALERT,92,0,0
120,94,163,Jamnagar,Jamnagar,Und-I,Sau,G,90.1,98,95.45,69.05,65.95,3.10,36.54,33.44,3.10,52.92%,60,215,NIL,2730,0,0
116,101,159,Jamnagar,Jamnagar,Vijarkhi,Sau,UG,22.86,30.47,28.55,9.70,9.70,0.00,5.26,5.26,0.00,54.23%,80,280,NIL,250,0,0
135,206,155,Jamnagar,Jamnagar,Wagadiya,Sau,UG,60.2,62.05,62.05,2.27,1.25,1.02,2.27,1.25,1.02,100%,25,330,HIGHALERT,509,509,0
130,119,162,Jamnagar,Jamnagar,Wodisang,Sau,UG,72.7,76.5,75.9,7.85,5.58,2.27,6.46,4.19,2.27,82.29%,30,270,ALERT,450,0,0
127,111,174,Jamnagar,Jodiya,Aji-IV,Sau,G,14.45,20.4,12.9,39.83,37.49,2.34,0.88,0.00,0.88,2.21%,55,200,NIL,230,0,0
122,98,127,Jamnagar,Kalavad,Fulzar-I,Sau,UG,17.98,24.69,24.2,11.36,11.22,0.14,9.45,9.31,0.14,83.19%,55,235,ALERT,1899,0,0
133,113,121,Jamnagar,Kalavad,Phophal-II,Sau,UG,125,129.33,125.28,6.13,5.89,0.24,0.35,0.11,0.24,5.71%,20,195,NIL,0,0,0
