SchemeId,District,Taluka,Name of Schemes,Region,Type (Gated/Ungated/FuseGate),Overflow Spillway Level (m),Full Reservoi Level (m),Gross Storage (MCM),Live Storage (MCM),Dead Storage (MCM)
122,DevbhumiDwarka,Kalyanpur,Sindhani,Sau,UG,13,16.35,8.73,7.96,0.77
127,Gir Somnath,Gir-Gadhada,Machhundri,Sau,UG,99.5,109.5,31.84,26.7,5.14
126,Gir Somnath,Gir-Gadhada,Raval,Sau,G,129.85,148.85,26.73,24,2.73
124,Gir Somnath,Gir-Gadhada,Shingoda,Sau,G,122.78,141.58,36.4,36.07,0.33
125,Gir Somnath,Talala,Hiran-II,Sau,G,62.42,71.26,38.58,35.02,3.56
106,Jamnagar,Dhrol,Und-II,Sau,G,14.5,18.25,37.12,32.87,4.25
99,Jamnagar,Jamjodhpur,Dia-Minsar,Sau,UG,71.5,75.4,11.11,8.87,2.24
110,Jamnagar,Jamjodhpur,Fulzar (KB),Sau,G,88.4,95.85,18.03,16.28,1.75
103,Jamnagar,Jamjodhpur,Umiyasagar,Sau,G,68,71.05,1.55,1.37,0.18
107,Jamnagar,Jamnagar,Kankavati,Sau,G,26.5,30.5,6.82,6.39,0.43
108,Jamnagar,Jamnagar,Rangmati,Sau,G,38.5,43.2,3.36,3.2,0.16
105,Jamnagar,Jamnagar,Ruparel,Sau,UG,45.05,48.2,4.27,3.74,0.53
114,Jamnagar,Jamnagar,Sapada,Sau,UG,27.13,32.77,5.56,5.27,0.29
94,Jamnagar,Jamnagar,Und-I,Sau,G,90.1,98,69.05,65.95,3.1
101,Jamnagar,Jamnagar,Vijarkhi,Sau,UG,22.86,30.47,9.7,9.7,0
206,Jamnagar,Jamnagar,Wagadiya,Sau,UG,60.2,62.05,2.27,1.25,1.02
119,Jamnagar,Jamnagar,Wodisang,Sau,UG,72.7,76.5,7.85,5.58,2.27
111,Jamnagar,Jodiya,Aji-IV,Sau,G,14.45,20.4,39.83,37.49,2.34
98,Jamnagar,Kalavad,Fulzar-I,Sau,UG,17.98,24.69,11.36,11.22,0.14
113,Jamnagar,Kalavad,Phophal-II,Sau,UG,125,129.33,6.13,5.89,0.24
121,Jamnagar,Kalavad,Und-III,Sau,UG,106.6,110.6,4.69,3.89,0.8
116,Jamnagar,Lalpur,Fulzar-II,Sau,UG,47.55,52.12,3.1,2.83,0.27
102,Jamnagar,Lalpur,Puna,Sau,UG,19.81,24.39,7.83,7.77,0.06
120,Jamnagar,Lalpur,Rupavati,Sau,UG,72.75,77.3,2.76,2.63,0.13
96,Jamnagar,Lalpur,Sasoi,Sau,UG,22.25,28.95,37.97,37.97,0
205,Jamnagar,Lalpur,Sasoi-II,Sau,UG,100,104.4,2.43,2.02,0.41
139,Junagadh,Bhesan,Mota-Gujariya,Sau,UG,132.77,140.02,7.64,7.55,0.09
