region,district,sr_no,taluka,avg_rain_1995_2024,rain_till_yesterday,rain_last_24hrs,total_rainfall,percent_against_avg
East Central Gujarat,East Central Gujarat Region,,East Central Gujarat Region Avg,805.0,13.0,0.0,13.0,1.59
East-CENTRAL GUJARAT,Ahmedabad,1.0,Ahmedabad City,806.0,1.0,0.0,1.0,0.1
East-CENTRAL GUJARAT,Ahmedabad,1.0,Galteshwar,753.0,0.0,0.0,0.0,0.0
East-CENTRAL GUJARAT,Ahmedabad,2.0,Bavla,658.0,0.0,0.0,0.0,0.0
East-CENTRAL GUJARAT,Ahmedabad,3.0,Daskroi,617.0,0.0,0.0,0.0,0.0
East-CENTRAL GUJARAT,Ahmedabad,4.0,Detroj-rampura,568.0,0.0,0.0,0.0,0.0
East-CENTRAL GUJARAT,Ahmedabad,5.0,Dhandhuka,739.0,8.0,0.0,8.0,1.0
East-CENTRAL GUJARAT,Ahmedabad,6.0,Dholera,694.0,13.0,0.0,13.0,1.8
East-CENTRAL GUJARAT,Ahmedabad,7.0,Dholka,730.0,30.0,0.0,30.0,4.1
East-CENTRAL GUJARAT,Ahmedabad,8.0,Mandal,498.0,31.0,0.0,31.0,6.2
East-CENTRAL GUJARAT,Ahmedabad,9.0,Sanand,772.0,0.0,0.0,0.0,0.0
East-CENTRAL GUJARAT,Ahmedabad,10.0,Viramgam,599.0,11.0,0.0,11.0,1.8
East-CENTRAL GUJARAT,Ahmedabad,,Ahmedabad District Avg,668.0,9.4,0.0,9.4,1.4
East-CENTRAL GUJARAT,Anand,1.0,Anand,889.0,67.0,0.0,67.0,7.5
East-CENTRAL GUJARAT,Anand,2.0,Anklav,833.0,21.0,0.0,21.0,2.5
East-CENTRAL GUJARAT,Anand,3.0,Borsad,855.0,6.0,0.0,6.0,0.7
East-CENTRAL GUJARAT,Anand,4.0,Khambhat,801.0,91.0,0.0,91.0,11.3
East-CENTRAL GUJARAT,Anand,5.0,Petlad,818.0,68.0,0.0,68.0,8.3
East-CENTRAL GUJARAT,Anand,6.0,Sojitra,735.0,78.0,0.0,78.0,10.6
East-CENTRAL GUJARAT,Anand,7.0,Tarapur,697.0,69.0,0.0,69.0,9.9
East-CENTRAL GUJARAT,Anand,8.0,Umreth,644.0,0.0,0.0,0.0,0.0
East-CENTRAL GUJARAT,Anand,,Anand District Avg,784.0,50.0,0.0,50.0,6.3
East-CENTRAL GUJARAT,Chhota Udepur,1.0,Bodeli,1201.0,1.0,1.0,2.0,0.17
East-CENTRAL GUJARAT,Chhota Udepur,2.0,Chhota Udepur,1001.0,2.0,0.0,2.0,0.2
East-CENTRAL GUJARAT,Chhota Udepur,3.0,Jetpur Pavi,1048.0,0.0,0.0,0.0,0.0
East-CENTRAL GUJARAT,Chhota Udepur,4.0,Nasvadi,917.0,0.0,0.0,0.0,0.0
East-CENTRAL GUJARAT,Chhota Udepur,5.0,Kavant,1006.0,0.0,0.0,0.0,0.0
East-CENTRAL GUJARAT,Dahod,1.0,Dahod,765.0,1.0,0.0,1.0,0.13
East-CENTRAL GUJARAT,Dahod,2.0,Devgadbaria,710.0,1.0,0.0,1.0,0.14
East-CENTRAL GUJARAT,Dahod,3.0,Dhanpur,670.0,8.0,0.0,8.0,1.19
East-CENTRAL GUJARAT,Dahod,4.0,Fatepura,725.0,38.0,0.0,38.0,5.24
East-CENTRAL GUJARAT,Dahod,5.0,Garbada,631.0,4.0,0.0,4.0,0.63
East-CENTRAL GUJARAT,Dahod,6.0,Jhalod,672.0,7.0,0.0,7.0,1.04
East-CENTRAL GUJARAT,Dahod,7.0,Limkheda,734.0,3.0,0.0,3.0,0.41
East-CENTRAL GUJARAT,Dahod,9.0,Sanjeli,702.0,0.0,0.0,0.0,0.0
East-CENTRAL GUJARAT,Dahod,,Dahod District Avg,701.0,6.9,0.0,6.9,0.98
East-CENTRAL GUJARAT,Dahod,,Singvad,702.0,0.0,0.0,0.0,0.0
East-CENTRAL GUJARAT,Kheda,2.0,Kapadvanj,932.0,0.0,0.0,0.0,0.0
East-CENTRAL GUJARAT,Kheda,3.0,Kathlal,866.0,0.0,0.0,0.0,0.0
East-CENTRAL GUJARAT,Kheda,4.0,Kheda,780.0,16.0,0.0,16.0,2.0
East-CENTRAL GUJARAT,Kheda,5.0,Mehmedabad,762.0,34.0,0.0,34.0,4.4
East-CENTRAL GUJARAT,Kheda,6.0,Mahudha,896.0,5.0,0.0,5.0,0.5
East-CENTRAL GUJARAT,Kheda,7.0,Matar,797.0,28.0,0.0,28.0,3.5
East-CENTRAL GUJARAT,Kheda,8.0,Nadiad,936.0,10.0,0.0,10.0,1.0
