region,district,sr_no,taluka,avg_rain_1995_2024,rain_till_yesterday,rain_last_24hrs,total_rainfall,percent_against_avg
East Central Gujarat,East Central Gujarat Region,,East Central Gujarat Region Avg,805.0,60.0,19.0,79.0,9.76
East-CENTRAL GUJARAT,Ahmedabad,1.0,Ahmedabad City,806.0,45.0,17.0,62.0,7.6
East-CENTRAL GUJARAT,Ahmedabad,1.0,Galteshwar,753.0,32.0,5.0,37.0,4.9
East-CENTRAL GUJARAT,Ahmedabad,2.0,Bavla,658.0,44.0,19.0,63.0,9.5
East-CENTRAL GUJARAT,Ahmedabad,3.0,Daskroi,617.0,30.0,60.0,90.0,14.5
East-CENTRAL GUJARAT,Ahmedabad,4.0,Detroj-rampura,568.0,40.0,0.0,40.0,7.0
East-CENTRAL GUJARAT,Ahmedabad,5.0,Dhandhuka,739.0,102.0,82.0,184.0,24.9
East-CENTRAL GUJARAT,Ahmedabad,6.0,Dholera,694.0,49.0,65.0,114.0,16.4
East-CENTRAL GUJARAT,Ahmedabad,7.0,Dholka,730.0,104.0,17.0,121.0,16.5
East-CENTRAL GUJARAT,Ahmedabad,8.0,Mandal,498.0,110.0,18.0,128.0,25.7
East-CENTRAL GUJARAT,Ahmedabad,9.0,Sanand,772.0,39.0,8.0,47.0,6.0
East-CENTRAL GUJARAT,Ahmedabad,10.0,Viramgam,599.0,74.0,3.0,77.0,12.8
East-CENTRAL GUJARAT,Ahmedabad,,Ahmedabad District Avg,668.0,63.7,28.9,92.6,13.8
East-CENTRAL GUJARAT,Anand,1.0,Anand,889.0,146.0,61.0,207.0,23.2
East-CENTRAL GUJARAT,Anand,2.0,Anklav,833.0,38.0,27.0,65.0,7.8
East-CENTRAL GUJARAT,Anand,3.0,Borsad,855.0,46.0,81.0,127.0,14.8
East-CENTRAL GUJARAT,Anand,4.0,Khambhat,801.0,192.0,72.0,264.0,32.9
East-CENTRAL GUJARAT,Anand,5.0,Petlad,818.0,152.0,74.0,226.0,27.6
East-CENTRAL GUJARAT,Anand,6.0,Sojitra,735.0,151.0,11.0,162.0,22.0
East-CENTRAL GUJARAT,Anand,7.0,Tarapur,697.0,165.0,51.0,216.0,30.9
East-CENTRAL GUJARAT,Anand,8.0,Umreth,644.0,18.0,22.0,40.0,6.2
East-CENTRAL GUJARAT,Anand,,Anand District Avg,784.0,113.5,49.9,163.38,20.8
East-CENTRAL GUJARAT,Chhota Udepur,1.0,Bodeli,1201.0,94.0,15.0,109.0,9.08
East-CENTRAL GUJARAT,Chhota Udepur,2.0,Chhota Udepur,1001.0,18.0,13.0,31.0,3.1
East-CENTRAL GUJARAT,Chhota Udepur,3.0,Jetpur Pavi,1048.0,28.0,30.0,58.0,5.53
East-CENTRAL GUJARAT,Chhota Udepur,4.0,Nasvadi,917.0,23.0,19.0,42.0,4.58
East-CENTRAL GUJARAT,Chhota Udepur,5.0,Kavant,1006.0,37.0,3.0,40.0,3.98
East-CENTRAL GUJARAT,Dahod,1.0,Dahod,765.0,29.0,9.0,38.0,4.97
East-CENTRAL GUJARAT,Dahod,2.0,Devgadbaria,710.0,3.0,3.0,6.0,0.85
East-CENTRAL GUJARAT,Dahod,3.0,Dhanpur,670.0,10.0,10.0,20.0,2.99
East-CENTRAL GUJARAT,Dahod,4.0,Fatepura,725.0,40.0,11.0,51.0,7.03
East-CENTRAL GUJARAT,Dahod,5.0,Garbada,631.0,9.0,34.0,43.0,6.81
East-CENTRAL GUJARAT,Dahod,6.0,Jhalod,672.0,11.0,3.0,14.0,2.08
East-CENTRAL GUJARAT,Dahod,7.0,Limkheda,734.0,14.0,4.0,18.0,2.45
East-CENTRAL GUJARAT,Dahod,9.0,Sanjeli,702.0,0.0,7.0,7.0,1.0
East-CENTRAL GUJARAT,Dahod,,Dahod District Avg,701.0,13.1,9.4,22.6,3.22
East-CENTRAL GUJARAT,Dahod,,Singvad,702.0,2.0,4.0,6.0,0.85
East-CENTRAL GUJARAT,Kheda,2.0,Kapadvanj,932.0,60.0,17.0,77.0,8.2
East-CENTRAL GUJARAT,Kheda,3.0,Kathlal,866.0,34.0,8.0,42.0,4.8
East-CENTRAL GUJARAT,Kheda,4.0,Kheda,780.0,49.0,13.0,62.0,7.9
East-CENTRAL GUJARAT,Kheda,5.0,Mehmedabad,762.0,83.0,29.0,112.0,14.7
East-CENTRAL GUJARAT,Kheda,6.0,Mahudha,896.0,51.0,19.0,70.0,7.8
East-CENTRAL GUJARAT,Kheda,7.0,Matar,797.0,95.0,33.0,128.0,16.0
East-CENTRAL GUJARAT,Kheda,8.0,Nadiad,936.0,121.0,33.0,154.0,16.4
East-CENTRAL GUJARAT,Kheda,9.0,Thasra,721.0,33.0,15.0,48.0,6.6
East-CENTRAL GUJARAT,Kheda,10.0,Vaso,820.0,125.0,32.0,157.0,19.1
East-CENTRAL GUJARAT,Kheda,,Kheda District Avg,826.0,68.3,20.4,88.7,10.7
East-CENTRAL GUJARAT,Mahisagar,1.0,Balasinor,865.0,83.0,8.0,91.0,10.52
East-CENTRAL GUJARAT,Mahisagar,2.0,Kadana,845.0,41.0,7.0,48.0,5.68
East-CENTRAL GUJARAT,Mahisagar,3.0,Khanpur,582.0,32.0,0.0,32.0,5.5
East-CENTRAL GUJARAT,Mahisagar,6.0,Virpur,672.0,75.0,5.0,80.0,11.9
East-CENTRAL GUJARAT,Mahisagar,,Mahisagar District Avg,747.0,58.0,5.7,63.7,8.52
East-CENTRAL GUJARAT,Panchmahal,1.0,Ghoghamba,813.0,16.0,3.0,19.0,2.34
East-CENTRAL GUJARAT,Panchmahal,2.0,Godhra,876.0,2.0,2.0,4.0,0.46
East-CENTRAL GUJARAT,Panchmahal,3.0,Halol,1056.0,37.0,3.0,40.0,3.79
East-CENTRAL GUJARAT,Panchmahal,4.0,Jambughoda,1131.0,82.0,17.0,99.0,8.75
East-CENTRAL GUJARAT,Panchmahal,4.0,Lunawada,740.0,90.0,6.0,96.0,12.97
East-CENTRAL GUJARAT,Panchmahal,5.0,Kalol,679.0,41.0,0.0,41.0,6.04
East-CENTRAL GUJARAT,Panchmahal,5.0,Santrampur,779.0,27.0,8.0,35.0,4.49
East-CENTRAL GUJARAT,Panchmahal,6.0,Morwa (Hadaf),933.0,15.0,1.0,16.0,1.71
East-CENTRAL GUJARAT,Panchmahal,7.0,Shehera,756.0,32.0,3.0,35.0,4.63
East-CENTRAL GUJARAT,Panchmahal,,Panchmahal District Avg,892.0,32.14,4.1,36.29,4.07
East-CENTRAL GUJARAT,Vadodara,1.0,Dabhoi,1002.0,198.0,2.0,200.0,19.9
East-CENTRAL GUJARAT,Vadodara,2.0,Desar,792.0,26.0,5.0,31.0,3.9
East-CENTRAL GUJARAT,Vadodara,3.0,Karjan,1027.0,74.0,11.0,85.0,8.2
East-CENTRAL GUJARAT,Vadodara,4.0,Padra,731.0,64.0,6.0,70.0,9.5
East-CENTRAL GUJARAT,Vadodara,5.0,Savli,801.0,53.0,5.0,58.0,7.2
East-CENTRAL GUJARAT,Vadodara,6.0,Sankheda,1175.0,192.0,13.0,205.0,17.45
East-CENTRAL GUJARAT,Vadodara,6.0,Sinor,749.0,30.0,7.0,37.0,4.9
East-CENTRAL GUJARAT,Vadodara,7.0,Vadodara,1088.0,40.0,9.0,49.0,4.5
East-CENTRAL GUJARAT,Vadodara,8.0,Vaghodia,718.0,44.0,12.0,56.0,7.8
East-CENTRAL GUJARAT,Vadodara,,Vadodara District Avg,864.0,66.1,7.1,73.3,8.4
Kachchh,Kachchh,1.0,Abdasa,454.0,8.0,47.0,55.0,12.11
Kachchh,Kachchh,2.0,Anjar,542.0,9.0,76.0,85.0,15.68
Kachchh,Kachchh,3.0,Bhachau,476.0,21.0,56.0,77.0,16.18
Kachchh,Kachchh,4.0,Bhuj,459.0,30.0,45.0,75.0,16.34
Kachchh,Kachchh,5.0,Gandhidham,451.0,31.0,86.0,117.0,25.94
Kachchh,Kachchh,6.0,Lakhpat,365.0,0.0,28.0,28.0,7.67
Kachchh,Kachchh,7.0,Mandvi(Kachchh),538.0,81.0,30.0,111.0,20.63
Kachchh,Kachchh,8.0,Mundra,561.0,41.0,26.0,67.0,11.94
Kachchh,Kachchh,9.0,Nakhatrana,469.0,18.0,73.0,91.0,19.4
Kachchh,Kachchh,10.0,Rapar,517.0,97.0,45.0,142.0,27.47
Kachchh,Kachchh,,Kachchh District Avg,483.0,33.6,51.2,84.8,17.5
Kachchh,Kachchh Region,,Kachchh Region Avg,483.0,33.6,51.2,84.8,17.5
North Gujarat,Aravalli,,Aravalli District Avg,873.0,31.8,20.3,52.2,5.97
North Gujarat,Aravalli,,Bayad,873.0,39.0,5.0,44.0,5.04
North Gujarat,Aravalli,,Bhiloda,897.0,2.0,37.0,39.0,4.35
North Gujarat,Aravalli,,Dhansura,918.0,23.0,28.0,51.0,5.56
North Gujarat,Aravalli,,Malpur,777.0,30.0,9.0,39.0,5.02
North Gujarat,Aravalli,,Meghraj,882.0,39.0,8.0,47.0,5.33
North Gujarat,Aravalli,,Modasa,893.0,58.0,35.0,93.0,10.41
North Gujarat,Banaskantha,1.0,Amirgadh,801.0,51.0,0.0,51.0,6.37
North Gujarat,Banaskantha,2.0,Bhabhar,531.0,17.0,5.0,22.0,4.14
North Gujarat,Banaskantha,3.0,Danta,891.0,13.0,0.0,13.0,1.46
North Gujarat,Banaskantha,4.0,Dantiwada,652.0,13.0,6.0,19.0,2.91
North Gujarat,Banaskantha,5.0,Deesa,679.0,16.0,4.0,20.0,2.95
North Gujarat,Banaskantha,6.0,Deodar,563.0,21.0,83.0,104.0,18.47
North Gujarat,Banaskantha,7.0,Dhanera,597.0,24.0,12.0,36.0,6.03
North Gujarat,Banaskantha,8.0,Kankrej,492.0,12.0,39.0,51.0,10.37
North Gujarat,Banaskantha,9.0,Lakhani,586.0,21.0,5.0,26.0,4.44
North Gujarat,Banaskantha,10.0,Palanpur,770.0,77.0,5.0,82.0,10.65
North Gujarat,Banaskantha,11.0,Suigam,556.0,19.0,12.0,31.0,5.58
North Gujarat,Banaskantha,12.0,Tharad,442.0,28.0,0.0,28.0,6.33
North Gujarat,Banaskantha,13.0,Vadgam,772.0,33.0,2.0,35.0,4.53
North Gujarat,Banaskantha,14.0,Vav,499.0,30.0,0.0,30.0,6.01
North Gujarat,Banaskantha,,Banaskantha District Avg,631.0,26.79,12.36,39.14,6.21
North Gujarat,Gandhinagar,,Dehgam,810.0,60.0,6.0,66.0,8.15
North Gujarat,Gandhinagar,,Gandhinagar,695.0,13.0,8.0,21.0,3.02
North Gujarat,Gandhinagar,,Gandhinagar District Avg,768.0,31.5,8.3,39.8,5.18
North Gujarat,Gandhinagar,,Kalol(Gandhinagar),774.0,9.0,3.0,12.0,1.55
North Gujarat,Gandhinagar,,Mansa,792.0,44.0,16.0,60.0,7.58
North Gujarat,Mahesana,,Becharaji,701.0,9.0,13.0,22.0,3.14
North Gujarat,Mahesana,,Jotana,767.0,28.0,0.0,28.0,3.65
North Gujarat,Mahesana,,Kadi,834.0,42.0,11.0,53.0,6.35
North Gujarat,Mahesana,,Kheralu,639.0,32.0,2.0,34.0,5.32
North Gujarat,Mahesana,,Mahesana,806.0,20.0,3.0,23.0,2.85
North Gujarat,Mahesana,,Mahesana District Avg,727.0,21.9,6.7,28.6,3.94
North Gujarat,Mahesana,,Satlasana,728.0,33.0,0.0,33.0,4.53
North Gujarat,Mahesana,,Unjha,718.0,9.0,5.0,14.0,1.95
North Gujarat,Mahesana,,Vadnagar,599.0,7.0,12.0,19.0,3.17
North Gujarat,Mahesana,,Vijapur,817.0,17.0,13.0,30.0,3.67
North Gujarat,Mahesana,,Visnagar,656.0,22.0,8.0,30.0,4.57
North Gujarat,North Gujarat Region,,North Gujarat Region Avg,719.0,27.0,14.0,41.0,5.75
North Gujarat,Patan,1.0,Chanasma,502.0,3.0,18.0,21.0,4.18
North Gujarat,Patan,2.0,Harij,587.0,22.0,9.0,31.0,5.28
North Gujarat,Patan,3.0,Patan,706.0,22.0,42.0,64.0,9.07
North Gujarat,Patan,4.0,Radhanpur,671.0,7.0,11.0,18.0,2.68
North Gujarat,Patan,5.0,Sami,520.0,46.0,0.0,46.0,8.85
North Gujarat,Patan,6.0,Santalpur,454.0,40.0,3.0,43.0,9.47
North Gujarat,Patan,7.0,Sarswati,699.0,13.0,24.0,37.0,5.29
North Gujarat,Patan,8.0,Shankheshvar,513.0,31.0,2.0,33.0,6.43
North Gujarat,Patan,9.0,Sidhpur,766.0,7.0,22.0,29.0,3.79
North Gujarat,Patan,,Patan District Avg,602.0,21.2,14.6,35.8,5.9
North Gujarat,Sabarkantha,,Himatnagar,854.0,22.0,30.0,52.0,6.09
North Gujarat,Sabarkantha,,Idar,967.0,75.0,61.0,136.0,14.06
North Gujarat,Sabarkantha,,Khedbrahma,821.0,8.0,8.0,16.0,1.95
North Gujarat,Sabarkantha,,Poshina,830.0,12.0,0.0,12.0,1.45
North Gujarat,Sabarkantha,,Prantij,855.0,26.0,20.0,46.0,5.38
North Gujarat,Sabarkantha,,Sabarkantha District Avg,854.0,36.3,23.6,59.9,7.01
North Gujarat,Sabarkantha,,Talod,825.0,69.0,11.0,80.0,9.7
North Gujarat,Sabarkantha,,Vadali,850.0,53.0,18.0,71.0,8.35
North Gujarat,Sabarkantha,,Vijaynagar,832.0,25.0,41.0,66.0,7.93
Saurashtra,Amreli,1.0,Amreli,704.0,189.0,6.0,195.0,27.7
Saurashtra,Amreli,2.0,Babra,688.0,192.0,3.0,195.0,28.34
Saurashtra,Amreli,3.0,Bagasara,724.0,74.0,2.0,76.0,10.5
Saurashtra,Amreli,4.0,Dhari,629.0,50.0,0.0,50.0,7.95
Saurashtra,Amreli,5.0,Jafrabad,681.0,47.0,0.0,47.0,6.9
Saurashtra,Amreli,7.0,Lathi,646.0,91.0,24.0,115.0,17.8
Saurashtra,Amreli,8.0,Lilia,657.0,178.0,20.0,198.0,30.14
Saurashtra,Amreli,9.0,Rajula,719.0,206.0,0.0,206.0,28.65
Saurashtra,Amreli,10.0,Savar kundla,694.0,271.0,0.0,271.0,39.05
Saurashtra,Amreli,11.0,Kunkavav Vadia,707.0,117.0,0.0,117.0,16.55
Saurashtra,Amreli,,Amreli District Avg,685.0,143.91,5.0,148.91,21.74
