region,district,sr_no,taluka,avg_rain_1995_2024,rain_till_yesterday,rain_last_24hrs,total_rainfall,percent_against_avg
East Central Gujarat,East Central Gujarat Region,,East Central Gujarat Region Avg,805.0,31.0,8.0,39.0,4.8
East-CENTRAL GUJARAT,Ahmedabad,1.0,Ahmedabad City,806.0,4.0,1.0,5.0,0.6
East-CENTRAL GUJARAT,Ahmedabad,1.0,Galteshwar,753.0,12.0,0.0,12.0,1.5
East-CENTRAL GUJARAT,Ahmedabad,2.0,Bavla,658.0,17.0,0.0,17.0,2.5
East-CENTRAL GUJARAT,Ahmedabad,3.0,Daskroi,617.0,18.0,0.0,18.0,2.9
East-CENTRAL GUJARAT,Ahmedabad,4.0,Detroj-rampura,568.0,12.0,0.0,12.0,2.1
East-CENTRAL GUJARAT,Ahmedabad,5.0,Dhandhuka,739.0,46.0,3.0,49.0,6.6
East-CENTRAL GUJARAT,Ahmedabad,6.0,Dholera,694.0,21.0,3.0,24.0,3.4
East-CENTRAL GUJARAT,Ahmedabad,7.0,Dholka,730.0,86.0,0.0,86.0,11.7
East-CENTRAL GUJARAT,Ahmedabad,8.0,Mandal,498.0,93.0,0.0,93.0,18.6
East-CENTRAL GUJARAT,Ahmedabad,9.0,Sanand,772.0,0.0,0.0,0.0,0.0
East-CENTRAL GUJARAT,Ahmedabad,10.0,Viramgam,599.0,57.0,0.0,57.0,9.5
East-CENTRAL GUJARAT,Ahmedabad,,Ahmedabad District Avg,668.0,35.4,0.7,36.1,5.4
East-CENTRAL GUJARAT,Anand,1.0,Anand,889.0,101.0,24.0,125.0,14.0
East-CENTRAL GUJARAT,Anand,2.0,Anklav,833.0,24.0,0.0,24.0,2.8
East-CENTRAL GUJARAT,Anand,3.0,Borsad,855.0,11.0,0.0,11.0,1.2
East-CENTRAL GUJARAT,Anand,4.0,Khambhat,801.0,169.0,1.0,170.0,21.2
East-CENTRAL GUJARAT,Anand,5.0,Petlad,818.0,118.0,9.0,127.0,15.5
East-CENTRAL GUJARAT,Anand,6.0,Sojitra,735.0,114.0,16.0,130.0,17.6
East-CENTRAL GUJARAT,Anand,7.0,Tarapur,697.0,100.0,53.0,153.0,21.9
East-CENTRAL GUJARAT,Anand,8.0,Umreth,644.0,4.0,2.0,6.0,0.9
East-CENTRAL GUJARAT,Anand,,Anand District Avg,784.0,80.13,13.1,93.25,11.8
East-CENTRAL GUJARAT,Chhota Udepur,1.0,Bodeli,1201.0,38.0,2.0,40.0,3.33
East-CENTRAL GUJARAT,Chhota Udepur,2.0,Chhota Udepur,1001.0,3.0,0.0,3.0,0.3
East-CENTRAL GUJARAT,Chhota Udepur,3.0,Jetpur Pavi,1048.0,15.0,0.0,15.0,1.43
East-CENTRAL GUJARAT,Chhota Udepur,4.0,Nasvadi,917.0,11.0,12.0,23.0,2.51
East-CENTRAL GUJARAT,Chhota Udepur,5.0,Kavant,1006.0,34.0,1.0,35.0,3.48
East-CENTRAL GUJARAT,Dahod,1.0,Dahod,765.0,25.0,0.0,25.0,3.27
East-CENTRAL GUJARAT,Dahod,2.0,Devgadbaria,710.0,3.0,0.0,3.0,0.42
East-CENTRAL GUJARAT,Dahod,3.0,Dhanpur,670.0,9.0,0.0,9.0,1.34
East-CENTRAL GUJARAT,Dahod,4.0,Fatepura,725.0,40.0,0.0,40.0,5.52
East-CENTRAL GUJARAT,Dahod,5.0,Garbada,631.0,7.0,0.0,7.0,1.11
East-CENTRAL GUJARAT,Dahod,6.0,Jhalod,672.0,11.0,0.0,11.0,1.64
East-CENTRAL GUJARAT,Dahod,7.0,Limkheda,734.0,10.0,4.0,14.0,1.91
East-CENTRAL GUJARAT,Dahod,9.0,Sanjeli,702.0,0.0,0.0,0.0,0.0
East-CENTRAL GUJARAT,Dahod,,Dahod District Avg,701.0,11.9,0.4,12.3,1.76
East-CENTRAL GUJARAT,Dahod,,Singvad,702.0,2.0,0.0,2.0,0.28
East-CENTRAL GUJARAT,Kheda,2.0,Kapadvanj,932.0,3.0,0.0,3.0,0.3
East-CENTRAL GUJARAT,Kheda,3.0,Kathlal,866.0,6.0,0.0,6.0,0.6
East-CENTRAL GUJARAT,Kheda,4.0,Kheda,780.0,22.0,0.0,22.0,2.8
East-CENTRAL GUJARAT,Kheda,5.0,Mehmedabad,762.0,63.0,0.0,63.0,8.2
East-CENTRAL GUJARAT,Kheda,6.0,Mahudha,896.0,11.0,3.0,14.0,1.5
East-CENTRAL GUJARAT,Kheda,7.0,Matar,797.0,55.0,0.0,55.0,6.9
East-CENTRAL GUJARAT,Kheda,8.0,Nadiad,936.0,70.0,19.0,89.0,9.5
East-CENTRAL GUJARAT,Kheda,9.0,Thasra,721.0,12.0,0.0,12.0,1.6
East-CENTRAL GUJARAT,Kheda,10.0,Vaso,820.0,86.0,12.0,98.0,11.9
East-CENTRAL GUJARAT,Kheda,,Kheda District Avg,826.0,34.0,3.4,37.4,4.5
East-CENTRAL GUJARAT,Mahisagar,1.0,Balasinor,865.0,17.0,0.0,17.0,1.97
East-CENTRAL GUJARAT,Mahisagar,2.0,Kadana,845.0,16.0,0.0,16.0,1.89
East-CENTRAL GUJARAT,Mahisagar,3.0,Khanpur,582.0,23.0,0.0,23.0,3.95
East-CENTRAL GUJARAT,Mahisagar,6.0,Virpur,672.0,43.0,8.0,51.0,7.59
East-CENTRAL GUJARAT,Mahisagar,,Mahisagar District Avg,747.0,26.7,4.8,31.5,4.22
East-CENTRAL GUJARAT,Panchmahal,1.0,Ghoghamba,813.0,8.0,0.0,8.0,0.98
East-CENTRAL GUJARAT,Panchmahal,2.0,Godhra,876.0,0.0,0.0,0.0,0.0
East-CENTRAL GUJARAT,Panchmahal,3.0,Halol,1056.0,21.0,1.0,22.0,2.08
East-CENTRAL GUJARAT,Panchmahal,4.0,Jambughoda,1131.0,52.0,4.0,56.0,4.95
East-CENTRAL GUJARAT,Panchmahal,4.0,Lunawada,740.0,46.0,19.0,65.0,8.78
East-CENTRAL GUJARAT,Panchmahal,5.0,Kalol,679.0,34.0,0.0,34.0,5.01
East-CENTRAL GUJARAT,Panchmahal,5.0,Santrampur,779.0,15.0,2.0,17.0,2.18
East-CENTRAL GUJARAT,Panchmahal,6.0,Morwa (Hadaf),933.0,2.0,4.0,6.0,0.64
East-CENTRAL GUJARAT,Panchmahal,7.0,Shehera,756.0,0.0,5.0,5.0,0.66
East-CENTRAL GUJARAT,Panchmahal,,Panchmahal District Avg,892.0,16.71,2.0,18.71,2.1
East-CENTRAL GUJARAT,Vadodara,1.0,Dabhoi,1002.0,8.0,151.0,159.0,15.8
East-CENTRAL GUJARAT,Vadodara,2.0,Desar,792.0,20.0,0.0,20.0,2.5
East-CENTRAL GUJARAT,Vadodara,3.0,Karjan,1027.0,13.0,17.0,30.0,2.9
East-CENTRAL GUJARAT,Vadodara,4.0,Padra,731.0,0.0,0.0,0.0,0.0
East-CENTRAL GUJARAT,Vadodara,5.0,Savli,801.0,39.0,1.0,40.0,4.9
East-CENTRAL GUJARAT,Vadodara,6.0,Sankheda,1175.0,29.0,125.0,154.0,13.11
East-CENTRAL GUJARAT,Vadodara,6.0,Sinor,749.0,6.0,3.0,9.0,1.2
East-CENTRAL GUJARAT,Vadodara,7.0,Vadodara,1088.0,4.0,4.0,8.0,0.7
East-CENTRAL GUJARAT,Vadodara,8.0,Vaghodia,718.0,18.0,7.0,25.0,3.4
East-CENTRAL GUJARAT,Vadodara,,Vadodara District Avg,864.0,13.5,22.9,36.4,4.2
Kachchh,Kachchh,1.0,Abdasa,454.0,0.0,0.0,0.0,0.0
Kachchh,Kachchh,2.0,Anjar,542.0,0.0,0.0,0.0,0.0
Kachchh,Kachchh,3.0,Bhachau,476.0,0.0,7.0,7.0,1.47
Kachchh,Kachchh,4.0,Bhuj,459.0,0.0,0.0,0.0,0.0
Kachchh,Kachchh,5.0,Gandhidham,451.0,0.0,0.0,0.0,0.0
Kachchh,Kachchh,6.0,Lakhpat,365.0,0.0,0.0,0.0,0.0
Kachchh,Kachchh,7.0,Mandvi(Kachchh),538.0,0.0,0.0,0.0,0.0
Kachchh,Kachchh,8.0,Mundra,561.0,0.0,0.0,0.0,0.0
Kachchh,Kachchh,9.0,Nakhatrana,469.0,0.0,0.0,0.0,0.0
Kachchh,Kachchh,10.0,Rapar,517.0,97.0,0.0,97.0,18.76
Kachchh,Kachchh,,Kachchh District Avg,483.0,9.7,0.7,10.4,2.2
Kachchh,Kachchh Region,,Kachchh Region Avg,483.0,9.7,0.7,10.4,2.2
North Gujarat,Aravalli,,Aravalli District Avg,873.0,21.2,0.0,21.2,2.42
North Gujarat,Aravalli,,Bayad,873.0,32.0,0.0,32.0,3.67
North Gujarat,Aravalli,,Bhiloda,897.0,2.0,0.0,2.0,0.22
North Gujarat,Aravalli,,Dhansura,918.0,21.0,0.0,21.0,2.29
North Gujarat,Aravalli,,Malpur,777.0,18.0,0.0,18.0,2.32
North Gujarat,Aravalli,,Meghraj,882.0,31.0,0.0,31.0,3.51
North Gujarat,Aravalli,,Modasa,893.0,23.0,0.0,23.0,2.58
North Gujarat,Banaskantha,1.0,Amirgadh,801.0,0.0,2.0,2.0,0.25
North Gujarat,Banaskantha,2.0,Bhabhar,531.0,17.0,0.0,17.0,3.2
North Gujarat,Banaskantha,3.0,Danta,891.0,0.0,2.0,2.0,0.22
North Gujarat,Banaskantha,4.0,Dantiwada,652.0,3.0,2.0,5.0,0.77
North Gujarat,Banaskantha,5.0,Deesa,679.0,4.0,0.0,4.0,0.59
North Gujarat,Banaskantha,6.0,Deodar,563.0,21.0,0.0,21.0,3.73
North Gujarat,Banaskantha,7.0,Dhanera,597.0,1.0,23.0,24.0,4.02
North Gujarat,Banaskantha,8.0,Kankrej,492.0,11.0,0.0,11.0,2.24
North Gujarat,Banaskantha,9.0,Lakhani,586.0,13.0,0.0,13.0,2.22
North Gujarat,Banaskantha,10.0,Palanpur,770.0,4.0,71.0,75.0,9.74
North Gujarat,Banaskantha,11.0,Suigam,556.0,19.0,0.0,19.0,3.42
North Gujarat,Banaskantha,12.0,Tharad,442.0,24.0,4.0,28.0,6.33
North Gujarat,Banaskantha,13.0,Vadgam,772.0,0.0,28.0,28.0,3.63
North Gujarat,Banaskantha,14.0,Vav,499.0,30.0,0.0,30.0,6.01
North Gujarat,Banaskantha,,Banaskantha District Avg,631.0,10.5,9.43,19.93,3.16
