region,district,sr_no,taluka,avg_rain_1995_2024,rain_till_yesterday,rain_last_24hrs,total_rainfall,percent_against_avg
East Central Gujarat,East Central Gujarat Region,,East Central Gujarat Region Avg,805.0,39.0,21.0,60.0,7.45
East-CENTRAL GUJARAT,Ahmedabad,1.0,Ahmedabad City,806.0,5.0,40.0,45.0,5.5
East-CENTRAL GUJARAT,Ahmedabad,1.0,Galteshwar,753.0,12.0,20.0,32.0,4.2
East-CENTRAL GUJARAT,Ahmedabad,2.0,Bavla,658.0,17.0,27.0,44.0,6.6
East-CENTRAL GUJARAT,Ahmedabad,3.0,Daskroi,617.0,18.0,12.0,30.0,4.8
East-CENTRAL GUJARAT,Ahmedabad,4.0,Detroj-rampura,568.0,12.0,28.0,40.0,7.0
East-CENTRAL GUJARAT,Ahmedabad,5.0,Dhandhuka,739.0,49.0,53.0,102.0,13.8
East-CENTRAL GUJARAT,Ahmedabad,6.0,Dholera,694.0,24.0,25.0,49.0,7.0
East-CENTRAL GUJARAT,Ahmedabad,7.0,Dholka,730.0,86.0,18.0,104.0,14.2
East-CENTRAL GUJARAT,Ahmedabad,8.0,Mandal,498.0,93.0,17.0,110.0,22.0
East-CENTRAL GUJARAT,Ahmedabad,9.0,Sanand,772.0,0.0,39.0,39.0,5.0
East-CENTRAL GUJARAT,Ahmedabad,10.0,Viramgam,599.0,57.0,17.0,74.0,12.3
East-CENTRAL GUJARAT,Ahmedabad,,Ahmedabad District Avg,668.0,36.1,27.6,63.7,9.5
East-CENTRAL GUJARAT,Anand,1.0,Anand,889.0,125.0,21.0,146.0,16.4
East-CENTRAL GUJARAT,Anand,2.0,Anklav,833.0,24.0,14.0,38.0,4.5
East-CENTRAL GUJARAT,Anand,3.0,Borsad,855.0,11.0,35.0,46.0,5.3
East-CENTRAL GUJARAT,Anand,4.0,Khambhat,801.0,170.0,22.0,192.0,23.9
East-CENTRAL GUJARAT,Anand,5.0,Petlad,818.0,127.0,25.0,152.0,18.5
East-CENTRAL GUJARAT,Anand,6.0,Sojitra,735.0,130.0,21.0,151.0,20.5
East-CENTRAL GUJARAT,Anand,7.0,Tarapur,697.0,153.0,12.0,165.0,23.6
East-CENTRAL GUJARAT,Anand,8.0,Umreth,644.0,6.0,12.0,18.0,2.8
East-CENTRAL GUJARAT,Anand,,Anand District Avg,784.0,93.25,20.3,113.5,14.4
East-CENTRAL GUJARAT,Chhota Udepur,1.0,Bodeli,1201.0,40.0,54.0,94.0,7.83
East-CENTRAL GUJARAT,Chhota Udepur,2.0,Chhota Udepur,1001.0,3.0,15.0,18.0,1.8
East-CENTRAL GUJARAT,Chhota Udepur,3.0,Jetpur Pavi,1048.0,15.0,13.0,28.0,2.67
East-CENTRAL GUJARAT,Chhota Udepur,4.0,Nasvadi,917.0,23.0,0.0,23.0,2.51
East-CENTRAL GUJARAT,Chhota Udepur,5.0,Kavant,1006.0,35.0,2.0,37.0,3.68
East-CENTRAL GUJARAT,Dahod,1.0,Dahod,765.0,25.0,4.0,29.0,3.79
East-CENTRAL GUJARAT,Dahod,2.0,Devgadbaria,710.0,3.0,0.0,3.0,0.42
East-CENTRAL GUJARAT,Dahod,3.0,Dhanpur,670.0,9.0,1.0,10.0,1.49
East-CENTRAL GUJARAT,Dahod,4.0,Fatepura,725.0,40.0,0.0,40.0,5.52
East-CENTRAL GUJARAT,Dahod,5.0,Garbada,631.0,7.0,2.0,9.0,1.43
East-CENTRAL GUJARAT,Dahod,6.0,Jhalod,672.0,11.0,0.0,11.0,1.64
East-CENTRAL GUJARAT,Dahod,7.0,Limkheda,734.0,14.0,0.0,14.0,1.91
East-CENTRAL GUJARAT,Dahod,9.0,Sanjeli,702.0,0.0,0.0,0.0,0.0
East-CENTRAL GUJARAT,Dahod,,Dahod District Avg,701.0,12.3,0.8,13.1,1.87
East-CENTRAL GUJARAT,Dahod,,Singvad,702.0,2.0,0.0,2.0,0.28
East-CENTRAL GUJARAT,Kheda,2.0,Kapadvanj,932.0,3.0,57.0,60.0,6.4
East-CENTRAL GUJARAT,Kheda,3.0,Kathlal,866.0,6.0,28.0,34.0,3.9
East-CENTRAL GUJARAT,Kheda,4.0,Kheda,780.0,22.0,27.0,49.0,6.2
East-CENTRAL GUJARAT,Kheda,5.0,Mehmedabad,762.0,63.0,20.0,83.0,10.8
East-CENTRAL GUJARAT,Kheda,6.0,Mahudha,896.0,14.0,37.0,51.0,5.6
East-CENTRAL GUJARAT,Kheda,7.0,Matar,797.0,55.0,40.0,95.0,11.9
East-CENTRAL GUJARAT,Kheda,8.0,Nadiad,936.0,89.0,32.0,121.0,12.9
East-CENTRAL GUJARAT,Kheda,9.0,Thasra,721.0,12.0,21.0,33.0,4.5
East-CENTRAL GUJARAT,Kheda,10.0,Vaso,820.0,98.0,27.0,125.0,15.2
East-CENTRAL GUJARAT,Kheda,,Kheda District Avg,826.0,37.4,30.9,68.3,8.2
East-CENTRAL GUJARAT,Mahisagar,1.0,Balasinor,865.0,17.0,66.0,83.0,9.6
East-CENTRAL GUJARAT,Mahisagar,2.0,Kadana,845.0,16.0,25.0,41.0,4.85
East-CENTRAL GUJARAT,Mahisagar,3.0,Khanpur,582.0,23.0,9.0,32.0,5.5
East-CENTRAL GUJARAT,Mahisagar,6.0,Virpur,672.0,51.0,24.0,75.0,11.16
East-CENTRAL GUJARAT,Mahisagar,,Mahisagar District Avg,747.0,31.5,26.5,58.0,7.76
East-CENTRAL GUJARAT,Panchmahal,1.0,Ghoghamba,813.0,8.0,8.0,16.0,1.97
East-CENTRAL GUJARAT,Panchmahal,2.0,Godhra,876.0,0.0,2.0,2.0,0.23
East-CENTRAL GUJARAT,Panchmahal,3.0,Halol,1056.0,22.0,15.0,37.0,3.5
East-CENTRAL GUJARAT,Panchmahal,4.0,Jambughoda,1131.0,56.0,26.0,82.0,7.25
East-CENTRAL GUJARAT,Panchmahal,4.0,Lunawada,740.0,65.0,25.0,90.0,12.16
East-CENTRAL GUJARAT,Panchmahal,5.0,Kalol,679.0,34.0,7.0,41.0,6.04
East-CENTRAL GUJARAT,Panchmahal,5.0,Santrampur,779.0,17.0,10.0,27.0,3.47
East-CENTRAL GUJARAT,Panchmahal,6.0,Morwa (Hadaf),933.0,6.0,9.0,15.0,1.61
East-CENTRAL GUJARAT,Panchmahal,7.0,Shehera,756.0,5.0,27.0,32.0,4.23
East-CENTRAL GUJARAT,Panchmahal,,Panchmahal District Avg,892.0,18.71,13.4,32.14,3.6
East-CENTRAL GUJARAT,Vadodara,1.0,Dabhoi,1002.0,159.0,39.0,198.0,19.7
East-CENTRAL GUJARAT,Vadodara,2.0,Desar,792.0,20.0,6.0,26.0,3.2
East-CENTRAL GUJARAT,Vadodara,3.0,Karjan,1027.0,30.0,44.0,74.0,7.2
East-CENTRAL GUJARAT,Vadodara,4.0,Padra,731.0,0.0,64.0,64.0,8.7
East-CENTRAL GUJARAT,Vadodara,5.0,Savli,801.0,40.0,13.0,53.0,6.6
East-CENTRAL GUJARAT,Vadodara,6.0,Sankheda,1175.0,154.0,38.0,192.0,16.34
East-CENTRAL GUJARAT,Vadodara,6.0,Sinor,749.0,9.0,21.0,30.0,4.0
East-CENTRAL GUJARAT,Vadodara,7.0,Vadodara,1088.0,8.0,32.0,40.0,3.6
East-CENTRAL GUJARAT,Vadodara,8.0,Vaghodia,718.0,25.0,19.0,44.0,6.1
