SrNo.,SchemeId,LocationId,District,Taluka,Name of Schemes,Region,Type,OSL,FRL,PWL,Design Storage in MCM,,,Present Storage in MCM,,,PercentageFilling %,RF,CRF,Type ofWarning,InflowinCusecs,OutflowRiverinCusecs,outflowCanalinCusecs
,,,,,,,,,,,Gross,Live,Dead,Gross,Live,Dead,,,,,,,
86,82,67,Bhavnagar,Umrala,Ranghola,Sau,G,53.35,62.5,62.48,36.81,36.81,0.00,36.68,36.68,0.00,99.65%,0,216,HIGHALERT,0,0,0
94,1,59,Botad,Barwala,Khambhada,Sau,G,48.3,50.35,50.25,4.41,3.48,0.93,4.15,3.22,0.93,94.10%,0,590,HIGHALERT,148,148,0
90,89,56,Botad,Botad,Goma,Sau,UG,120.4,126.5,126.5,15.75,15.12,0.63,15.75,15.12,0.63,100%,0,440,HIGHALERT,0,0,0
97,87,57,Botad,Botad,Kaniyad,Sau,G,99,102.25,101.75,2.93,2.64,0.29,2.27,1.98,0.29,77.47%,0,405,WARNING,0,0,0
96,182,55,Botad,Botad,Sukhbhadar,Sau,G,102,109.2,108.7,41.13,37.57,3.56,36.11,32.55,3.56,87.79%,0,345,ALERT,1942,1942,0
95,92,60,Botad,Gadhada,Bhimdad,Sau,UG,96.32,104.85,104.9,6.79,6.79,0.00,6.79,6.79,0.00,100%,0,530,HIGHALERT,66.42,66.42,0
98,78,66,Botad,Gadhada,Kalubhar,Sau,G,53.72,60.36,59,18.14,16.62,1.52,15.92,14.40,1.52,87.76%,0,345,ALERT,300,300,0
92,83,64,Botad,Gadhada,Limbali,Sau,G,124.1,128.1,125.7,8.48,6.94,1.54,3.42,1.88,1.54,40.33%,0,255,NIL,0,0,0
91,79,65,Botad,Gadhada,Malpara,Sau,G,73,78.1,77.8,6.90,6.40,0.50,5.70,5.20,0.50,82.61%,0,300,ALERT,0,0,0
93,2,58,Botad,Ranpur,Utavali,Sau,G,47.3,49.3,49.3,9.01,6.91,2.10,9.01,6.91,2.10,100%,0,535,HIGHALERT,0,0,0
16,40,14,Chhotaudepur,Jetpur pavi,Sukhi,CG,G,134,147.82,145.8,173.01,163.22,9.79,127.14,117.35,9.79,73.49%,6,620,WARNING,907.59,907.59,0
17,41,15,Chhotaudepur,Kawant,Rami,CG,UG,184,196.35,190.5,4.55,4.49,0.06,1.05,0.99,0.06,23.08%,0,292,NIL,0,0,0
20,23,26,Dahod,Devgadh baria,WNKL.-BHEY,CG,UG,214.9,223.57,219.6,13.30,11.69,1.61,6.09,4.48,1.61,45.79%,0,440,NIL,0,0,0
18,25,25,Dahod,Dhanpur,Edalwada,CG,FG,228.5,237.3,236.1,14.08,13.28,0.80,10.70,9.90,0.80,75.99%,5,498,WARNING,0,0,0
19,18,21,Dahod,Garbada,Patadungari,CG,UG,160.02,170.84,167.37,41.05,39.64,1.41,18.79,17.38,1.41,45.77%,0,237,NIL,0,0,0
25,24,22,Dahod,Limkheda,Umaria,CG,UG,270.93,280,280,13.54,11.67,1.87,13.54,11.67,1.87,100%,2,364,HIGHALERT,0,0,0
21,16,23,Dahod,Singvad,Hadaf,CG,G,161.5,166.2,164.2,22.09,17.27,4.82,12.84,8.02,4.82,58.13%,8,357,NIL,100,0,0
