SrNo.,SchemeId,LocationId,District,Taluka,Name of Schemes,Region,Type,OSL,FRL,PWL,Design Storage in MCM,,,Present Storage in MCM,,,PercentageFilling %,RF,CRF,Type ofWarning,InflowinCusecs,OutflowRiverinCusecs,outflowCanalinCusecs
,,,,,,,,,,,Gross,Live,Dead,Gross,Live,Dead,,,,,,,
76,66,73,Amreli,Amreli,Thebi,Sau,G,120.6,126,124.2,10.65,9.98,0.67,4.94,4.27,0.67,46.38%,0,220,NIL,0,0,0
71,70,72,Amreli,Amreli,Vadi,Sau,G,128.05,134,133.2,10.62,10.20,0.42,8.02,7.60,0.42,75.52%,8,285,WARNING,0,0,0
67,93,63,Amreli,Babra,Ghelo-I,Sau,UG,159.1,166.72,165.14,10.09,9.86,0.23,5.59,5.36,0.23,55.40%,0,245,NIL,0,0,0
73,72,70,Amreli,Bagasara,Munjiasar,Sau,UG,55.47,62.94,60.774,13.64,13.63,0.01,5.96,5.95,0.01,43.70%,0,143,NIL,0,0,0
77,65,71,Amreli,Dhari,Khodiyar,Sau,G,179.82,202.68,199.66,29.94,29.94,0.00,16.41,16.41,0.00,54.81%,0,188,NIL,0,0,0
69,68,87,Amreli,Khambha,Raidy,Sau,G,42.25,50.85,47.65,6.93,6.38,0.55,2.94,2.39,0.55,42.42%,0,215,NIL,0,0,0
66,73,116,Amreli,Kunkavav vadia,Sankroli,Sau,UG,36.58,44.2,40.84,7.87,7.87,0.00,1.92,1.92,0.00,24.40%,0,106,NIL,0,0,0
70,69,115,Amreli,Kunkavav vadia,Vadiya,Sau,G,125.2,130.25,127.5,5.36,5.09,0.27,1.27,1.00,0.27,23.69%,0,250,NIL,0,0,0
68,67,85,Amreli,Rajula,Dhatarvadi,Sau,UG,70.83,81.23,81.24,26.92,24.63,2.29,26.92,24.63,2.29,100%,0,263,HIGHALERT,16,16,0
75,75,86,Amreli,Rajula,Dhatarwadi-II,Sau,G,31.85,34.41,34.25,10.19,7.44,2.75,9.55,6.80,2.75,93.72%,0,370,HIGHALERT,72,72,0
72,71,74,Amreli,Savarkundla,Shell-Dedumal,Sau,G,171,179.5,177.45,7.81,7.34,0.47,4.07,3.60,0.47,52.11%,0,245,NIL,0,0,0
74,74,84,Amreli,Savarkundla,Surajwadi,Sau,UG,39.62,50.29,50.29,6.37,6.37,0.00,6.37,6.37,0.00,100%,0,340,HIGHALERT,0,0,0
2,31,41,Arvalli,Bayad,Lank,NG,G,106.5,111.55,107.47,7.54,7.22,0.32,0.76,0.44,0.32,10.08%,112,314,NIL,1700,0,0
5,30,34,Arvalli,Bhiloda,Hathmati,NG,UG,170.69,180.75,178.95,152.84,149.39,3.45,100.88,97.43,3.45,66.00%,10,432,NIL,300,0,0
6,34,35,Arvalli,Bhiloda,Meshwo,NG,UG,202.39,214.59,212.66,53.13,49.97,3.16,41.56,38.40,3.16,78.22%,20,421,WARNING,23,0,0
4,27,40,Arvalli,Malpur,Watrak,NG,G,126.03,136.25,133.51,158.20,134.79,23.41,97.20,73.80,23.41,61.44%,117,578,NIL,600,0,0
3,35,39,Arvalli,Meghraj,Waidy,NG,UG,190.85,199.2,197.19,9.28,8.70,0.58,5.96,5.38,0.58,64.22%,14,372,NIL,100,0,0
1,29,38,Arvalli,Modasa,Mazam,NG,G,150.77,157.1,155.3,43.86,36.58,7.28,27.19,19.91,7.28,61.99%,111,602,NIL,882,0,0
9,4,44,Banaskantha,Dantiwada,Dantiwada,NG,G,161.85,184.1,173.31,397.12,392.01,5.10,93.98,88.88,5.10,23.67%,78,724,NIL,2844,0,2
7,5,43,Banaskantha,Dantiwada,Sipu,NG,G,176.4,186.43,176.36,161.43,145.37,16.06,15.89,0.00,15.89,9.84%,72,730,NIL,833,0,0
