SrNo.,SchemeId,LocationId,District,Taluka,Name of Schemes,Region,Type,OSL,FRL,PWL,Design Storage in MCM,,,Present Storage in MCM,,,PercentageFilling %,RF,CRF,Type ofWarning,InflowinCusecs,OutflowRiverinCusecs,outflowCanalinCusecs
,,,,,,,,,,,Gross,Live,Dead,Gross,Live,Dead,,,,,,,
76,66,73,Amreli,Amreli,Thebi,Sau,G,120.6,126,124.2,10.65,9.98,0.67,4.94,4.27,0.67,46.38%,0,225,NIL,0,0,0
71,70,72,Amreli,Amreli,Vadi,Sau,G,128.05,134,133.2,10.62,10.20,0.42,8.02,7.60,0.42,75.52%,0,285,WARNING,0,0,0
67,93,63,Amreli,Babra,Ghelo-I,Sau,UG,159.1,166.72,165.14,10.09,9.86,0.23,5.59,5.36,0.23,55.40%,0,245,NIL,0,0,0
73,72,70,Amreli,Bagasara,Munjiasar,Sau,UG,55.47,62.94,60.774,13.64,13.63,0.01,5.96,5.95,0.01,43.70%,0,151,NIL,0,0,0
77,65,71,Amreli,Dhari,Khodiyar,Sau,G,179.82,202.68,199.66,29.94,29.94,0.00,16.41,16.41,0.00,54.81%,0,188,NIL,0,0,0
69,68,87,Amreli,Khambha,Raidy,Sau,G,42.25,50.85,47.45,6.93,6.38,0.55,2.78,2.23,0.55,40.12%,0,215,NIL,0,0,0
66,73,116,Amreli,Kunkavav vadia,Sankroli,Sau,UG,36.58,44.2,40.84,7.87,7.87,0.00,1.92,1.92,0.00,24.40%,0,106,NIL,0,0,0
70,69,115,Amreli,Kunkavav vadia,Vadiya,Sau,G,125.2,130.25,127.5,5.36,5.09,0.27,1.27,1.00,0.27,23.69%,0,264,NIL,0,0,0
68,67,85,Amreli,Rajula,Dhatarvadi,Sau,UG,70.83,81.23,81.23,26.92,24.63,2.29,26.92,24.63,2.29,100%,0,263,HIGHALERT,0,0,0
75,75,86,Amreli,Rajula,Dhatarwadi-II,Sau,G,31.85,34.41,34.25,10.19,7.44,2.75,9.55,6.80,2.75,93.72%,0,370,HIGHALERT,0,0,0
72,71,74,Amreli,Savarkundla,Shell-Dedumal,Sau,G,171,179.5,177.45,7.81,7.34,0.47,4.07,3.60,0.47,52.11%,0,245,NIL,0,0,0
74,74,84,Amreli,Savarkundla,Surajwadi,Sau,UG,39.62,50.29,50.29,6.37,6.37,0.00,6.37,6.37,0.00,100%,0,340,HIGHALERT,0,0,0
2,31,41,Arvalli,Bayad,Lank,NG,G,106.5,111.55,108.38,7.54,7.22,0.32,1.50,1.18,0.32,19.89%,0,332,NIL,0,0,0
5,30,34,Arvalli,Bhiloda,Hathmati,NG,UG,170.69,180.75,179.37,152.84,149.39,3.45,111.79,108.34,3.45,73.14%,0,555,WARNING,350,0,0
6,34,35,Arvalli,Bhiloda,Meshwo,NG,UG,202.39,214.59,213.28,53.13,49.97,3.16,45.20,42.04,3.16,85.07%,0,472,ALERT,94,0,0
4,27,40,Arvalli,Malpur,Watrak,NG,G,126.03,136.25,133.62,158.20,134.79,23.41,99.21,75.80,23.41,62.71%,0,578,NIL,0,0,0
3,35,39,Arvalli,Meghraj,Waidy,NG,UG,190.85,199.2,197.3,9.28,8.70,0.58,6.14,5.56,0.58,66.16%,0,392,NIL,0,0,0
1,29,38,Arvalli,Modasa,Mazam,NG,G,150.77,157.1,155.32,43.86,36.58,7.28,27.37,20.09,7.28,62.40%,0,613,NIL,0,0,0
9,4,44,Banaskantha,Dantiwada,Dantiwada,NG,G,161.85,184.1,174,397.12,392.01,5.10,106.43,101.33,5.10,26.80%,0,745,NIL,278,0,2
7,5,43,Banaskantha,Dantiwada,Sipu,NG,G,176.4,186.43,176.95,161.43,145.37,16.06,19.25,3.19,16.06,11.92%,0,752,NIL,0,0,0
8,3,45,Banaskantha,Vadgam,Mukteshwar,NG,G,193.67,201.65,199.53,31.46,26.30,5.16,22.15,16.99,5.16,70.41%,0,704,WARNING,195,0,0
35,7,9,Bharuch,Jhagadia,Dholi,SG,UG,124,136,136.1,14.17,12.56,1.61,14.17,12.56,1.61,100%,0,573,HIGHALERT,478,478,0
34,9,11,Bharuch,Netrang,Baldeva,SG,UG,131.35,141.5,141.3,8.15,7.84,0.31,7.81,7.50,0.31,95.83%,20,840,HIGHALERT,257.49,0,0
33,10,12,Bharuch,Netrang,Pigut,SG,UG,130.6,139.7,140.02,7.52,7.27,0.25,7.52,7.27,0.25,100%,0,954,HIGHALERT,1314,1314,0
81,84,68,Bhavnagar,Bhavnagar,Lakhanka,Sau,G,34.98,44.22,38.6,3.68,3.68,0.00,0.19,0.19,0.00,5.16%,0,305,NIL,0,0,0
82,90,81,Bhavnagar,Mahuva,Bagad,Sau,UG,55.36,60.41,60.43,11.18,9.66,1.52,11.18,9.66,1.52,100%,0,610,HIGHALERT,53,53,0
83,81,83,Bhavnagar,Mahuva,Malan,Sau,G,93.9,104.25,104.25,11.44,11.44,0.00,11.44,11.44,0.00,100%,0,400,HIGHALERT,34,34,0
85,91,82,Bhavnagar,Mahuva,Rojki,Sau,UG,89.15,99.06,99.1,9.23,9.13,0.10,9.23,9.13,0.10,100%,0,401,HIGHALERT,11,11,0
87,86,77,Bhavnagar,Palitana,Hanol,Sau,G,86.35,90.1,89.75,5.60,5.43,0.17,4.65,4.48,0.17,83.04%,0,380,ALERT,0,0,0
84,80,76,Bhavnagar,Palitana,Kharo,Sau,G,47.5,54.12,53.5,12.24,11.84,0.40,9.71,9.31,0.40,79.33%,0,645,WARNING,0,0,0
89,77,78,Bhavnagar,Palitana,Rajawal,Sau,G,50,56.75,56.5,28.21,25.84,2.37,26.22,23.85,2.37,92.95%,0,675,HIGHALERT,0,0,0
88,76,75,Bhavnagar,Palitana,Shetrunji,Sau,G,45.17,55.53,55.53,346.48,341.45,5.03,346.48,341.45,5.03,100%,0,560,HIGHALERT,0,0,0
79,85,80,Bhavnagar,Talaja,Hamirpara,Sau,G,82.6,87.8,86.95,2.02,1.93,0.09,1.40,1.31,0.09,69.31%,0,503,NIL,0,0,0
78,196,69,Bhavnagar,Talaja,Jaspara-Mandva,Sau,UG,30.2,40.25,34.5,3.72,3.18,0.54,1.25,0.71,0.54,33.60%,0,265,NIL,0,0,0
80,88,79,Bhavnagar,Talaja,Pingli,Sau,G,45.2,51.3,51,2.11,1.84,0.27,1.90,1.63,0.27,90.05%,0,536,HIGHALERT,0,0,0
86,82,67,Bhavnagar,Umrala,Ranghola,Sau,G,53.35,62.5,62.48,36.81,36.81,0.00,36.68,36.68,0.00,99.65%,0,260,HIGHALERT,0,0,0
94,1,59,Botad,Barwala,Khambhada,Sau,G,48.3,50.35,50.25,4.41,3.48,0.93,4.15,3.22,0.93,94.10%,0,700,HIGHALERT,0,0,0
90,89,56,Botad,Botad,Goma,Sau,UG,120.4,126.5,126.4,15.75,15.12,0.63,15.29,14.66,0.63,97.08%,0,505,HIGHALERT,0,0,0
97,87,57,Botad,Botad,Kaniyad,Sau,G,99,102.25,101.55,2.93,2.64,0.29,2.02,1.73,0.29,68.94%,0,445,NIL,0,0,0
96,182,55,Botad,Botad,Sukhbhadar,Sau,G,102,109.2,108.6,41.13,37.57,3.56,35.10,31.54,3.56,85.34%,0,370,ALERT,0,0,0
95,92,60,Botad,Gadhada,Bhimdad,Sau,UG,96.32,104.85,104.85,6.79,6.79,0.00,6.79,6.79,0.00,100%,0,640,HIGHALERT,0,0,0
98,78,66,Botad,Gadhada,Kalubhar,Sau,G,53.72,60.36,59,18.14,16.62,1.52,15.92,14.40,1.52,87.76%,0,400,ALERT,390,0,0
92,83,64,Botad,Gadhada,Limbali,Sau,G,124.1,128.1,126.4,8.48,6.94,1.54,4.69,3.15,1.54,55.31%,0,280,NIL,0,0,0
91,79,65,Botad,Gadhada,Malpara,Sau,G,73,78.1,77.8,6.90,6.40,0.50,5.70,5.20,0.50,82.61%,0,320,ALERT,0,0,0
93,2,58,Botad,Ranpur,Utavali,Sau,G,47.3,49.3,49.3,9.01,6.91,2.10,9.01,6.91,2.10,100%,0,705,HIGHALERT,0,0,0
16,40,14,Chhotaudepur,Jetpur pavi,Sukhi,CG,G,134,147.82,146.63,173.01,163.22,9.79,145.04,135.25,9.79,83.83%,0,860,ALERT,484.52,484.52,0
17,41,15,Chhotaudepur,Kawant,Rami,CG,UG,184,196.35,191,4.55,4.49,0.06,1.22,1.16,0.06,26.81%,0,364,NIL,0,0,0
20,23,26,Dahod,Devgadh baria,WNKL.-BHEY,CG,UG,214.9,223.57,220.82,13.30,11.69,1.61,8.08,6.47,1.61,60.75%,0,730,NIL,0,0,0
18,25,25,Dahod,Dhanpur,Edalwada,CG,FG,228.5,237.3,237.3,14.08,13.28,0.80,14.08,13.28,0.80,100%,0,784,HIGHALERT,0,0,0
19,18,21,Dahod,Garbada,Patadungari,CG,UG,160.02,170.84,168.83,41.05,39.64,1.41,25.86,24.45,1.41,63.00%,4,316,NIL,416,0,0
25,24,22,Dahod,Limkheda,Umaria,CG,UG,270.93,280,280.05,13.54,11.67,1.87,13.54,11.67,1.87,100%,0,490,HIGHALERT,61.6,61.6,0
21,16,23,Dahod,Singvad,Hadaf,CG,G,161.5,166.2,164.55,22.09,17.27,4.82,14.32,9.50,4.82,64.83%,0,419,NIL,100,0,0
23,22,24,Dahod,Singvad,Kabutari,CG,UG,180.6,186.3,186.35,9.58,8.07,1.51,9.58,8.07,1.51,100%,0,415,HIGHALERT,70.21,70.21,0
24,26,17,Dahod,Zalod,Kali - II,CG,UG,250,257,257.1,14.52,10.91,3.61,14.52,10.91,3.61,100%,0,170,HIGHALERT,353,353,0
22,21,18,Dahod,Zalod,Machchhanala,CG,UG,271.31,277.64,276.5,27.75,21.82,5.93,21.71,15.78,5.93,78.23%,0,250,WARNING,0,0,0
108,123,137,DevbhumiDwarka,Bhanvad,Kabarka,Sau,UG,92.2,96.85,94.45,4.30,4.06,0.24,1.31,1.07,0.24,30.47%,0,365,NIL,0,0,0
100,195,131,DevbhumiDwarka,Bhanvad,Minsar (V),Sau,UG,85.5,91.8,90.88,5.85,5.54,0.31,4.10,3.79,0.31,70.09%,0,400,WARNING,20,0,0
103,115,141,DevbhumiDwarka,Bhanvad,Sonmati,Sau,FG,72,78.5,78.5,7.40,7.09,0.31,7.40,7.09,0.31,100%,0,390,HIGHALERT,40,40,0
